n,d1,d2,d3,d4,A1,A2,A3,B3,B4,D3,D4,c4,c4prime,c5
235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.998932 ,0.998284,NA
236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.998937 ,0.998291,NA
237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.998941 ,0.998297,NA
238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.998946 ,0.998304,NA
239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.998950 ,0.998311,NA
240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.998955 ,0.998317,NA
241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.998959 ,0.998323,NA
242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.998963 ,0.99833,NA
243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.998967 ,0.998336,NA
244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.998972 ,0.998342,NA
245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.998976 ,0.998349,NA
246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.998980 ,0.998355,NA
247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.998984 ,0.998361,NA
248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.998988 ,0.998367,NA
249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.998992 ,0.998373,NA
250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.998996 ,0.998379,NA
251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999001 ,0.998385,NA
252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999004 ,0.998391,NA
253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999008 ,0.998397,NA
254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999012 ,0.998403,NA
255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999016 ,0.998408,NA
256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999020 ,0.998414,NA
257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999024 ,0.99842,NA
258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999028 ,0.998425,NA
259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999031 ,0.998431,NA
260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999035 ,0.998436,NA
261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999039 ,0.998442,NA
262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999043 ,0.998447,NA
263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999046 ,0.998453,NA
264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999050 ,0.998458,NA
265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999053 ,0.998463,NA
266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999057 ,0.998469,NA
267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999061 ,0.998474,NA
268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999064 ,0.998479,NA
269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999068 ,0.998484,NA
270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999071 ,0.998489,NA
271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999075 ,0.998495,NA
272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999078 ,0.9985,NA
273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999081 ,0.998505,NA
274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999085 ,0.99851,NA
275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999088 ,0.998515,NA
276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999091 ,0.998519,NA
277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999095 ,0.998524,NA
278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999098 ,0.998529,NA
279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999101 ,0.998534,NA
280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999104 ,0.998539,NA
281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999108 ,0.998544,NA
282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999111 ,0.998548,NA
283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999114 ,0.998553,NA
284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999117 ,0.998558,NA
285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999120 ,0.998562,NA
286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999123 ,0.998567,NA
287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999126 ,0.998571,NA
288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999129 ,0.998576,NA
289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999132 ,0.99858,NA
290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999135 ,0.998585,NA
291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999138 ,0.998589,NA
292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999141 ,0.998593,NA
293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999144 ,0.998598,NA
294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999147 ,0.998602,NA
295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999150 ,0.998606,NA
296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999153 ,0.998611,NA
297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999156 ,0.998615,NA
298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999159 ,0.998619,NA
299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999161 ,0.998623,NA
300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999164 ,0.998627,NA
301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999167 ,0.998632,NA
302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999170 ,0.998636,NA
303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999173 ,0.99864,NA
304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999175 ,0.998644,NA
305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999178 ,0.998648,NA
306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999181 ,0.998652,NA
307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999183 ,0.998656,NA
308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999186 ,0.99866,NA
309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999189 ,0.998664,NA
310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999191 ,0.998668,NA
311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999194 ,0.998671,NA
312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999196 ,0.998675,NA
313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999199 ,0.998679,NA
314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999202 ,0.998683,NA
315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999204 ,0.998687,NA
316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999207 ,0.99869,NA
317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999209 ,0.998694,NA
318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999212 ,0.998698,NA
319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999214 ,0.998701,NA
320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999217 ,0.998705,NA
321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999219 ,0.998709,NA
322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999221 ,0.998712,NA
323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999224 ,0.998716,NA
324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999226 ,0.99872,NA
325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999229 ,0.998723,NA
326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999231 ,0.998727,NA
327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999233 ,0.99873,NA
328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999236 ,0.998734,NA
329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999238 ,0.998737,NA
330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999240 ,0.99874,NA
331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999243 ,0.998744,NA
332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999245 ,0.998747,NA
333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999247 ,0.998751,NA
334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999250 ,0.998754,NA
335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999252 ,0.998757,NA
336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999254 ,0.998761,NA
337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999256 ,0.998764,NA
338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999258 ,0.998767,NA
339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999261 ,0.99877,NA
340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999263 ,0.998774,NA
341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999265 ,0.998777,NA
342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999267 ,0.99878,NA
343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999269 ,0.998783,NA
344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998786,NA
345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.99879,NA
346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998793,NA
347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998796,NA
348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998799,NA
349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998802,NA
350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998805,NA
351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998808,NA
352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998811,NA
353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998814,NA
354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998817,NA
355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.99882,NA
356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998823,NA
357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998826,NA
358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998829,NA
359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998832,NA
360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998835,NA
361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998837,NA
362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.99884,NA
363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998843,NA
364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998846,NA
365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998849,NA
366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998851,NA
367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998854,NA
368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998857,NA
369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.99886,NA
370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998862,NA
371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998865,NA
372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998868,NA
373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998871,NA
374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998873,NA
375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998876,NA
376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998879,NA
377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998881,NA
378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998884,NA
379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998886,NA
380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998889,NA
381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998892,NA
382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998894,NA
383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998897,NA
384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998899,NA
385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998902,NA
386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998904,NA
387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998907,NA
388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998909,NA
389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998912,NA
390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998914,NA
391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998917,NA
392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998919,NA
393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998921,NA
394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998924,NA
395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998926,NA
396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998929,NA
397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998931,NA
398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998933,NA
399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998936,NA
400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998938,NA
401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.99894,NA
402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998943,NA
403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998945,NA
404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998947,NA
405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.99895,NA
406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998952,NA
407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998954,NA
408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998956,NA
409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998959,NA
410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998961,NA
411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998963,NA
412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998965,NA
413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998967,NA
414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.99897,NA
415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998972,NA
416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998974,NA
417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998976,NA
418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998978,NA
419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.99898,NA
420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998982,NA
421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998985,NA
422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998987,NA
423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998989,NA
424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998991,NA
425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998993,NA
426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998995,NA
427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998997,NA
428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.998999,NA
429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999001,NA
430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999003,NA
431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999005,NA
432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999007,NA
433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999009,NA
434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999011,NA
435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999013,NA
436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999015,NA
437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999017,NA
438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999019,NA
439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999021,NA
440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999023,NA
441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999025,NA
442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999027,NA
443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999028,NA
444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.99903,NA
445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999032,NA
446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999034,NA
447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999036,NA
448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999038,NA
449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.99904,NA
450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999042,NA
451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999043,NA
452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999045,NA
453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999047,NA
454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999049,NA
455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999051,NA
456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999052,NA
457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999054,NA
458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999056,NA
459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999058,NA
460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.99906,NA
461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999061,NA
462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999063,NA
463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999065,NA
464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999067,NA
465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999068,NA
466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.99907,NA
467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999072,NA
468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999073,NA
469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999075,NA
470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999077,NA
471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999078,NA
472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.99908,NA
473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999082,NA
474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999084,NA
475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999085,NA
476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999087,NA
477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999088,NA
478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.99909,NA
479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999092,NA
480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999093,NA
481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999095,NA
482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999097,NA
483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999098,NA
484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.9991,NA
485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999101,NA
486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999103,NA
487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999104,NA
488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999106,NA
489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999108,NA
490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999109,NA
491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999111,NA
492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999112,NA
493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999114,NA
494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999115,NA
495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999117,NA
496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999118,NA
497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.99912,NA
498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999121,NA
499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999123,NA
500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000 ,0.999124,NA
